paperid,originalaffiliation
1539854304,"China Institute of Electronic System Engineering, Beijing, 100039, China#TAB#"
1539854304,"State Key Laboratory of Software Engineering, Wuhan University, Wuhan 430072, China#TAB#"
1539860964,"TasLab, Informatica Trentina S.p.A."
1539860964,Università di Trento
1539860964,Université Rennes 1
1539924253,"Dipartimento di Informatica, Università di Torino, Turin, Italy#TAB#"
1539989671,"Université du Luxembourg, Walferdange, Luxembourg#TAB#"
1539989671,"University of Luebeck, Institute for Multimedia and Interactive Systems, Luebeck, Germany#TAB#"
1540013686,"Max-Planck-Institut für Informatik, Saarbrücken, Germany and Charles University, Prague, Czech Republic#TAB#"
1540028405,"Bell Labs Innovations, Lucent Technologies, Whippany, NJ#TAB#"
1540028405,"Rutgers University, New Brunswick, NJ#TAB#"
1540028405,"University of Alberta, Edmonton, CA#TAB#"
1540050166,University of Queensland
1540098891,"Department of Mechanical and Automation Engineering, The Chinese University of Hong Kong, Shatin, N.T., Hong Kong, China#TAB#"
1540098891,"State Key Laboratory of Intelligent Technology and Systems, Tsinghua National Laboratory for Information Science and Technology, Department of Computer Science and Technology, Tsinghua University, ...#TAB#"
1540119895,"Plant Biotechnology Research Center, Fudan-SJTU-Nottingham Plant Biotechnology R&D Center, School of Agriculture and Biology, Institute of Systems Biology, Shanghai Jiao Tong University, Shanghai, China"
1540119895,Shanghai Jiao Tong University
1540159122,Isfahan Mathematics House
1540159122,Isfahan University of Technology
1540159122,University of Salford
1540255868,"Language Technologies Institute & Computer Science Department, Carnegie Mellon University, Pittsburgh, PA#TAB#"
1540290916,"Cambridge Univ. Eng. Dpt, Cambridge, U.K.#TAB#"
1540290916,"IRISA/INRIA, Rennes, France#TAB#"
1540325559,"CETP/IPSL, Vélizy, France#TAB#"
1540325559,"CNRS/INRIA/UNSA, INRIA, Sophia Antipolis, Cedex, France#TAB#"
1540325559,"IEF/AXIS, Université de Paris-Sud, Orsay Cedex, France#TAB#"
1540346227,"Department of Information Management, National Yunlin University of Science and Technology, Touliu, Taiwan#TAB#"
1540346227,"Department of Internal Medicine, TaiChung Hospital, TaiChung, Taiwan#TAB#"
1540469842,Brno University of Technology
1540513290,Center for Mathematics and Computer Science (CWI)
1540513290,Eindhoven University of Technology (TU/e)
1540584263,"School of Software, University of Technology, Australia#TAB#"
1540610518,"Learning Algorithms and Systems Laboratory (LASA), Ecole Polytechnique Fédérale de Lausanne (EPFL), Lausanne, Switzerland#TAB#"
1540613764,"School of Computer Science and Technology, Xidian University, Xi'an, P.R.China#TAB#"
1540648613,"College of Computer Science & Technology, Huazhong University of Science and Technology, Wuhan 430000, China#TAB#"
1540648613,"Faculty of Education, Hubei University, Wuhan 430062, China#TAB#"
1540698170,"COPPE, Federal University of RJ, Rio de Janeiro, Brazil#TAB#"
1540698170,"LISTIC, Université de Savoie, Annecy Cedex, France#TAB#"
1540805201,Eindhoven University of Technology
1540853027,"Bartlett School of Graduate Studies, UCL"
1540908235,"Department of Computer Science, AGH University of Science and Technology, Kraków, Poland#TAB#"
1540941392,Technical University of Lodz
1540956104,Technical University of Madrid
1541033774,"Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada#TAB#"
1541056931,"IRLab., Computer Science Department, University of A Coruña, Spain#TAB#"
1541062670,"Department of Information and Communications, DongGuk University, Seoul, Korea#TAB#"
1541090059,"School of Computer Science, University of Manchester, Manchester, UK M13 9PL#TAB#"
1541105761,"Hebei Baoding TV, Baoding 071050, China#TAB#"
1541105761,"Mechanical and Electrical College, Hebei Agriculture University, Baoding 071001, China#TAB#"
1541134807,"School of Computer Science, McGill University, Montreal, Canada H3A2A7#TAB#"
1541195008,"Institute of Biophysics, Chinese Academy of Sciences, Chaoyang District, Beijing, China#TAB#"
1541195008,"Institute of Image Processing and Pattern Recognition, Shanghai Jiaotong University, Shanghai, China#TAB#"
1541203439,University of Burgos
1541218918,"Bowdoin College, Brunswick, ME#TAB#"
1541263954,Akashi National College of Technology
1541263954,University of Hyogo
1541281948,"School of Automation, Northwestern Polytechnical University, Xi'an, China#TAB#"
1541281948,"School of Computer Science and Engineering, Xi'an, China#TAB#"
1541330015,Northwestern University - Department of Management & Organizations
1541413510,"Institute of Pathology, University of Ulm, Ulm, Germany"
1541480617,Consejo Superior de Investigaciones Científicas Campus de la UAB
1541480617,CSIC—Consejo Superior de Investigaciones Científicas
1541480617,The University of Manchester
1541496496,"Dpto. de Teoría de la señal y Comunicaciones, Universidad de Alcalá, Alcalá de Henares (Madrid), Spain#TAB#"
1541497272,"Interdisciplinary Centre for Computer Music Research, University of Plymouth, Plymouth, Devon, United Kingdom#TAB#"
1541534334,"Les Fous du Pixel Image Processing Research Group Department of Computer Science, Catholic University of Maule, Talca, Chile#TAB#"
1541534334,"TUTELKAN, Talca, Chile#TAB#"
1541537013,"Department of Biology, University of York, UK#TAB#"
1541537013,"Department of Computer Science, University of York, UK#TAB#"
1541537013,"Department of Electronics, University of York, UK#TAB#"
1541632332,"Bioinformatics Laboratory, CPGEI, Federal University of Technology – Paraná, Curitiba, PR, Brazil#TAB#"
1541703057,"School of Software, Tsinghua University, Beijing 100084, P.R. China#TAB#"
1541778664,"School of Computer Science, University of Nottingham, UK#TAB#"
1541783231,"Queen Mary, University of London, London, UK#TAB#"
1541785783,University of Cordoba
1541848738,Democritus University of Thrace
1541848738,Frederick University
1541848738,Technological Educational Institute of Kavala
1541848738,"University Hospital of Alexandroupolis, Medical School, Democritus University of Thrace"
1541871325,"Radboud University Nijmegen, Institute for Computing and Information Sciences, Nijmegen, The Netherlands#TAB#"
1541938899,Shanghai University of finance & economics
1541938899,Tongji University
1542086458,"Cognitive Systems Laboratory, University of Hamburg, Hamburg, Germany#TAB#"
1542159791,"Department of Computer Science, University College London, London, UK#TAB#"
1542295728,"Mathematical Modelling and Computational Sciences, Wilfrid Laurier University, Waterloo, Ontario, Canada#TAB#"
1542309196,"Universidad Carlos III de Madrid, Leganés, Madrid, Spain 28911#TAB#"
1542377556,"Department of Physics, Hong Kong University of Science and Technology, Hong Kong#TAB#"
1542394286,"Swarm-Intelligent Systems Group, École Polytechnique Fédérale de Lausanne, Lausanne, Switzerland#TAB#"
1542399861,"Department of Computer Science, Loughborough University, Loughborough, Leicestershire, The United Kingdom#TAB#"
1542403395,"Dept. Llenguatges i Sistemes Informàtics, Universitat Jaume I, Castelló de la Plana, Spain 12071#TAB#"
1542433634,"School of Computer Science, National University of Defense Technology, Hunan Province, PR. China#TAB#"
1542457947,"Department of Electronics, University of Kent Canterbury, UK CT2 7NT#TAB#"
1542573693,"Dipartimento di Informatica, Università di Torino, Torino, Italy#TAB#"
1542628109,Université de Caen Basse-Normandie
1542636192,"Supélec, Metz, France#TAB#"
1542641911,"Konrad-Zuse-Zentrum für Informationstechnik, Berlin, Germany#TAB#"
1542641911,"University of California, Davis, CA#TAB#"
1542671449,Gazi University
1542671449,University of Pittsburgh
1542698108,"Carleton University, School of Computer Science, Ottawa, Canada#TAB#"
1542698108,"Universidad del Bio-Bio, Departamento de Sistemas de Informacion Concepcion, Chile#TAB#"
1542723449,"Dept. of Computer Science, University of North Carolina at Chapel Hill, Chapel Hill, NC#TAB#"
1542732975,"Artificial Life Laboratory, Research Institute for Networks and Communication Engineering, School of Electronic Engineering, Dublin City University, Ireland#TAB#"
1542734414,Lawrence Livermore National Laboratory (LLNL)
1542756748,"The Microsoft Research, University of Trento Centre for Computational and Systems Biology and Dipartimento di Informatica e Telecomunicazioni, Università di Trento#TAB#"
1542756748,"The Microsoft Research, University of Trento Centre for Computational and Systems Biology#TAB#"
1542813581,"Department of Computer Science and Engineering, University of California, Riverside, Riverside, USA CA 92521#TAB#"
1542838137,"Centre de Rennes - Bretagne Atlantique, INRIA, Rennes Cedex, France#TAB#"
1542857598,"HPI, University of Potsdam, Germany#TAB#"
1542877415,"School of Computer Science and Technology, Hubei University of Economics, Wuhan, China#TAB#"
1542877415,"School of Management, Huazhong University of Science and Technology, Wuhan, China#TAB#"
1542901287,"Honda Research Institute Europe GmbH, Offenbach am Main, Germany and Technische Universität Darmstadt, Control Theory and Robotics Lab, Darmstadt, Germany#TAB#"
1542901287,"Honda Research Institute Europe GmbH, Offenbach am Main, Germany#TAB#"
1542948973,"ONERA Toulouse, France#TAB#"
1543003929,"Department of Computer Science, University of Jyväskylä, Finland#TAB#"
1543003929,"Instituto Politecnico Nacional, Mexico City, Mexico#TAB#"
1543003929,"KIT Language Technology Doctorate School, Helsinki University, Finland#TAB#"
1543086806,"Department of Psychiatry and Behavioral Sciences, Stanford University, Stanford, USA#TAB#"
1543086806,"Neuroscience Program, SRI International, Menlo Park, USA and Department of Psychiatry and Behavioral Sciences, Stanford University, Stanford, USA#TAB#"
1543086806,"Neuroscience Program, SRI International, Menlo Park, USA#TAB#"
1543115787,"IBM T.J. Watson, NY#TAB#"
1543115787,"State University of New York, Albany, NY#TAB#"
1543141901,"Dept. of Languages and Information Systems, Polytechnic University of Catalonia, Barcelona, Spain#TAB#"
1543141901,"National Research Council Canada, Ottawa, ON, Canada#TAB#"
1543156466,"Center for Computational Biomedicine Imaging and Modeling, Division of Computer and Information Sciences, Rutgers University, NJ#TAB#"
1543156466,"Sanofi-aventis, Bridgewater, NJ#TAB#"
1543204590,"Darmstadt University of Technology, Darmstadt, Germany#TAB#"
1543204590,"Max Planck Institute for Intelligent Systems, Tübingen, Germany, Darmstadt University of Technology, Darmstadt, Germany#TAB#"
1543204590,"Max Planck Institute for Intelligent Systems, Tübingen, Germany#TAB#"
1543249511,"Dipartimento di Informatica, Università di Verona#TAB#"
1543249511,"Dipartimento di Scienze Morfologiche Biomediche, Università di Verona#TAB#"
1543311678,Duke University - Pratt School of Engineering; Duke University
1543311678,London Business School
1543373697,"Intelligence Recognition and Image Processing Laboratory, Beihang University, Beijing, P.R. China#TAB#"
1543485623,"Department of Computer Science, University of North Texas, Denton, USA#TAB#"
1543485623,"Department of Geography, University of North Texas, Denton, USA#TAB#"
1543563754,"CIRED, CNRS, Nogent-sur-Marne"
1543780533,"CIATEC, Mexico#TAB#"
1543780533,"Edirne University, Turkey#TAB#"
1543780533,"Juarez City University, Mexico#TAB#"
1543847027,"School of Management, Harbin Institute of Technology, 150001 Harbin, China#TAB#"
1543848645,Nottingham Trent University
1543934942,"Department of Informatics, ISEE, Kyushu University, Fukuoka, Japan#TAB#"
1543934942,"GREYC CNRS UMR 6072, University of Caen Basse-Normandie, France#TAB#"
1544049983,"Key Laboratory of Network, Institute of Computing Technology, Beijing, China#TAB#"
1544060217,"CMP, Dept. of Cybernetics, Faculty of EE, Czech Technical University in Prague#TAB#"
1544060217,Czech Technical University in Prague
1544165161,Umeå University
1544176085,Boston University
1544227213,K.U.Leuven
1544286040,"University of Arizona, USA#TAB#"
1544319464,"Department of Computer Science, Bar-Ilan University, Ramat-Gan, Israel#TAB#"
1544319464,"Department of Mathematics, Bar-Ilan University, Ramat-Gan, Israel#TAB#"
1544319464,"Electronics and Computer Science, University of Southampton, Southampton, UK#TAB#"
1544406315,"Departamento de Comunicaciones, Universidad Politècnica de València, UPV, ETSIT, València, Spain#TAB#"
1544437461,Central Queensland University
1544437461,Curtin University of Technology
1544450402,"Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain#TAB#"
1544450402,"Department of Computer Science, University of Jaén, Jaén, Spain#TAB#"
1544450402,"Department of Organization and Marketing, University of Mondragón, Spain#TAB#"
1544496313,"Katholieke Universiteit Leuven, Leuven, Belgium 3001#TAB#"
1544496518,"Honda Research Institute, CA 94041#TAB#"
1544496518,"University of California, Merced, CA 95344#TAB#"
1544505810,Centro de Informatica - CIn / UFPE
1544505810,"Project AxIS, INRIA-Rocquencourt"
1544619140,"School of Computer Science & Technology of Soochow University, Suzhou#TAB#"
1544670502,студент#N#Санкт-Петербургский государственный политехнический университет
1544785846,"Electronics & Elec. Communication Engg. Department, Indian Institute of Technology, Kharagpur, India#TAB#"
1544787665,"Department of Computer Science, University of York, UK#TAB#"
1544902885,American University in Cairo
1544903785,"Idiap Research Institute, Martigny, Switzerland#TAB#"
1544955599,"Computer Science Department, University College London, London, UK#TAB#"
1544955599,"Engineering Department, University College London, London, UK and Institute of Ophthalmology, University College London, London, UK#TAB#"
1544955599,"Institute of Ophthalmology, University College London, London, UK#TAB#"
1545018615,"DEIS, Università della Calabria#TAB#"
1545018615,"Dept. of Cellular Biology, Università della Calabria#TAB#"
1545093576,"Center for Imaging Science, Johns Hopkins University, Baltimore, MD#TAB#"
1545093576,"Dept. of Electrical Engineering and Physics, Heriot-Watt University, Edinburgh, UK#TAB#"
1545155975,"Department of Computer Science, University of Seville, Sevilla, Spain#TAB#"
1545155975,"School of Engineering, Pablo de Olavide University, Sevilla, Spain#TAB#"
1545183175,"Charles University, Prague, Czech Republic#TAB#"
1545183175,"University of P.J. Šafárik, Košice, Slovakia#TAB#"
1545509143,"Google Research, New York, NY 10011#TAB#"
1545541701,"Department of Industrial Engineering, Hanyang University, Seoul, South Korea#TAB#"
1545552490,"Department of Morphological-Biomedical Sciences, Section of Anatomy and Histology, University of Verona, Italy#TAB#"
1545552490,"VIPS lab, University of Verona, Italy#TAB#"
1545598578,"Istituto Dalle Molle di Studi sull'Intelligenza Artificiale, Lugano, Switzerland#TAB#"
1545752326,University of Toronto#TAB#
1545851864,"Department of Pure and Applied Mathematics, University of Padova, Italy#TAB#"
1545881009,"Department of Computer Science and Engineering, University of California, Riverside, Riverside, USA CA 92521#TAB#"
1545906741,Guangdong University of Technology
1545915473,Agriculture Bureau
1545915473,Chinese Academy of Agriculture Sciences
1545915796,"Artificial Intelligence Lab, Department of Computer Science, Iowa State University#TAB#"
1545915796,"Scalable Computing Lab., Iowa State University and U.S. Department of Energy#TAB#"
1545944057,"Instituto Nacional de Astrofísica, Optica y Electrónica, Puebla, Mexico#TAB#"
1545944057,"NLE Lab - ELiRF, Universitat Politècnica de València, Valencia, Spain#TAB#"
1545944057,"University of Alabama at Birmingham, Birmingham, AL#TAB#"
1545975589,"ISWeb --- Information Systems and Semantic Web Research Group Institute for Computer Science, University of Koblenz --- Landau,#TAB#"
1545993235,East China Jiaotong University
1546042159,NEIKER: Institute Vasco de Investigación y Desarrollo
1546042159,Shell Corporation
1546042159,Universidad Católica del Uruguay
1546042159,Univ. Politécnica de Madrid
1546244709,Department of Electrical Engineering and Information Technology
1546244709,University of Cyprus
1546438029,"Dept. of Computer Science & Engineering, Michigan State University, East Lansing, MI#TAB#"
1546438029,"Dept. of Computer Science & Technology, Harbin Institute of Technology, Harbin, China#TAB#"
1546452317,"Center for Computing Research, CIC, National Polytechnic Institute,IPN, Mexico City, Mexico#TAB#"
1546549016,"Institute of Mathematics, Silesian University of Technology, Kaszubska 23, 44-100 Gliwice, Poland"
1546584168,"Dipartimento di Informatica e Scienze dell'Informazione, Università di Genova, Genova, Italy#TAB#"
1546584168,"Dipartimento di Informatica, Università di Pisa, Pisa, Italy#TAB#"
1546596713,"Centre for Electronic Media Art, School of Computer Science and Software Engineering, Monash University, Clayton, Victoria, Australia#TAB#"
1546606682,"Department of Electrical and Electronic Engineering, Oita University, Oita, Japan,School of Mechatronic, Universiti Malaysia Perlis, Arau, Perlis, Malaysia#TAB#"
1546606682,"Department of Electrical and Electronic Engineering, Oita University, Oita, Japan#TAB#"
1546690442,"Dipartimento di Informatica, Università degli Studi di Bari, Bari, Italy#TAB#"
1546741105,"Institute of Information Science, Academia Sinica, Taipei, Taiwan#TAB#"
1546746322,"Department of Computer Science, AGH University of Science and Technology, Kraków, Poland#TAB#"
1546796311,"Human-Computer Interaction Institute, Carnegie Mellon University, Pittsburgh, PA#TAB#"
1546796311,"Learning Sciences Research Institute, University of Nottingham, Nottingham, UK#TAB#"
1546807126,"Dpto. de Ingeniería Informática and Instituto de Ingeniería del Conocimiento, Universidad Autónoma de Madrid, Madrid, Spain#TAB#"
1546892667,"State Key Laboratory of Intelligent Technology and Systems, Department of Automation, Tsinghua University, Beijing, China#TAB#"
1546938385,"Centro de Investigación en Computación del Instituto Politécnico Nacional,#TAB#"
1546938385,"Universidad Tecnológica de la Mixteca,#TAB#"
1547003114,"Department of Computer Science, Worcester Polytechnic Institute, Worcester, MA#TAB#"
1547003114,"Department of Social Science and Policy Studies, Worcester Polytechnic Institute, Worcester, MA#TAB#"
1547034405,"Centre for Bioinformatics Tübingen (ZBIT), University of Tübingen, Tübingen, Germany#TAB#"
1547063217,UCM
1547063217,Universidad de Salamanca
1547138983,"Instituto de Automática Industrial, Spanish Council for Scientific Research, Arganda del Rey. Madrid, Spain#TAB#"
1547160207,"Bournemouth University Fern Barrow, Poole"
1547368035,"College of Computing, Georgia Institute of Technology, Atlanta, GA#TAB#"
1547368035,"Department of Radiology, Surgical Planning Laboratory, Brigham and Women's Hospital, Boston, MA#TAB#"
1547368035,"Electrical Engineering, Georgia Institute of Technology, Atlanta, GA#TAB#"
1547407172,"Department of Artificial Intelligence, Vrije Universiteit Amsterdam, Amsterdam 1081 and Sukkur Institute of Business Administration (Sukkur IBA), Sindh, Pakistan#TAB#"
1547407172,"Department of Artificial Intelligence, Vrije Universiteit Amsterdam, Amsterdam 1081#TAB#"
1547470232,"Department of Computer Science, Memorial University, St. John's, Canada#TAB#"
1547537513,"Department of Electrical Engineering and Computer Science, University of Liège, Liège, Belgium#TAB#"
1547548873,"Campus Côte de Nacre, GREYC, Université de Caen Basse-Normandie, Caen Cedex, France#TAB#"
1547564490,"Theoretical and Applied Statistics Lab, Pierre & Marie Curie University, Paris, France#TAB#"
1547564490,"Vision and Robotics Lab, ENSI of Bourges, Bourges, France#TAB#"
1547564490,"Vision and Robotics Lab, IUT Mesures Physiques, Orleans University, Bourges cedex, France#TAB#"
1547582450,"Dipartimento di Automazione, Elettromagnetismo, Ingegneria dell'Informazione e Matematica Industriale, Università di Cassino, Cassino, (FR), Italy#TAB#"
1547582450,"Dipartimento di Informatica e Sistemistica, Università di Napoli Federico II, Napoli, Italy#TAB#"
1547582450,"Dipartimento di Ingegneria dell'Informazione e Ingegneria Elettrica, Università di Salerno, Fisciano, (SA), Italy#TAB#"
1547673199,"University of Strathclyde, Glasgow, UK#TAB#"
1547683487,"Faculty of Engineering, Environment & Computing"
1547690326,"Lunar and Planetary Institute, Houston, TX#TAB#"
1547690326,"University of Houston, Houston, TX and Computer Science Department, University of Houston-Clear Lake#TAB#"
1547690326,"University of Houston, Houston, TX#TAB#"
1547753633,"Clayton School of Information Technology, Monash University, Australia#TAB#"
1547753633,"Departament de Matemàtica Aplicada i Anàlisi, Universitat de Barcelona, Spain#TAB#"
1547762555,"Institut de Recherche en Informatique de Toulouse (IRIT), Toulouse Cedex 4, France#TAB#"
1547788791,"Department of Computing and Electronic Systems, University of Essex, UK#TAB#"
1547841921,Asansol engineering College
1547841921,Jadavpur University
1547841921,Norwegian University of Science and Technology
1547843648,"CIST, KOREA University, Seoul, Republic of Korea#TAB#"
1547843648,"National Security Research Institute, Daejeon, Republic of Korea#TAB#"
1547881221,"Intelligent Systems & Signal Processing Laboratories, Engineering Research Centre, University of Brighton, Moulsecoomb, Brighton, UK#TAB#"
1547961650,"Computer Sciences Department, University of Wisconsin, Madison WI 53706, USA#TAB#"
1548010335,"INRIA Saclay - Île-de-France and Laboratoire de Recherche en Informatique, UMR CNRS, Université Paris-Sud, Orsay Cedex, France#TAB#"
1548029031,"LabMAg - Dep. de Informática, Faculdade de Ciências, Universidade de Lisboa, Portugal and Dep. Eng. Informática, Escola Superior de Tecnologia e Gestão, Instituto Politécn ...#TAB#"
1548029031,"LabMAg - Dep. de Informática, Faculdade de Ciências, Universidade de Lisboa, Portugal#TAB#"
1548029031,"Transverse Activity on Intelligent Robotics - IEETA - DETI, Universidade de Aveiro, Portugal#TAB#"
1548071774,Institute of Mathematics and Informatics
1548120661,"Faculty of Science and Technology, Queensland University of University, Brisbane, Australia#TAB#"
1548306442,"Bren School of Information and Computer Science, UC Irvine, CA#TAB#"
1548326731,"Department of Computer Science & Software Engineering, Auburn University, AL#TAB#"
1548326731,"Electronics and Telecommunications Research Institutes, Telematics-USN Research Division, Korea#TAB#"
1548388839,"Department of Computing, Imperial College London, UK#TAB#"
1548479443,"University of Szeged and HAS, Hungary#TAB#"
1548479443,"University of Szeged, Hungary#TAB#"
1548479443,"University of Trento, Italy#TAB#"
1548485480,"Department of Electrical Engineering, Universidad de Chile#TAB#"
1548486355,"Department of Computer Science, University of North Carolina at Chapel Hill,#TAB#"
1548612957,"Bell Labs, Murray Hill, NJ 07974#TAB#"
1548612957,"Electrical Engineering Dept., Columbia University, New York, NY 10027#TAB#"
1548612957,"Electrical Engineering Dept., University of Melbourne, Australia#TAB#"
1548696134,"The University of Iowa, Iowa City, IA#TAB#"
1548700883,"Experimental Plasma Physics 2 (E2), Max Planck Institute for Plasma Physics, Max Planck Society"
1548700883,"Experimental Plasma Physics 3 (E3), Max Planck Institute for Plasma Physics, Max Planck Society"
1548700883,External Organizations
1548700883,"Tokamak Edge and Divertor Physics (E2), Max Planck Institute for Plasma Physics, Max Planck Society"
1548700883,"W7-X: Physics (PH), Max Planck Institute for Plasma Physics, Max Planck Society"
1548736945,Grupo de Neurocomputacio´n Biolo´gica (GNB). Dpto. de Ingenieri´a Informa´tica. Escuela Polite´cnica Superior. Universidad Auto´noma de Madrid. 28049 Madrid. Spain
1548741966,"LERIA, Université d'Angers, Angers, France#TAB#"
1548773083,"Kyung Hee University, South of Korea#TAB#"
1548785784,"Dipartimento di Informatica, Università degli Studi di Bari, Campus Universitario, Via Orabona 4, 70125 Bari, Italy#TAB#"
1548831555,"Department of Philosophy, Utrecht University, Utrecht, The Netherlands#TAB#"
1548843460,"Electronics and Communication Sciences Unit, Indian Statistical Institute, Kolkata, India#TAB#"
1548859180,"Head, Intelligent Decision Aids Group, Navy Center for Applied Research in Artificial Intelligence, Naval Research Laboratory (Code 5515), Washington, DC#TAB#"
1548872555,University of Kent
1548918546,"Department of Software and Computing Systems, University of Alicante, Spain#TAB#"
1548949275,"Faculty of IT, University of Moratuwa"
1548953334,"Computer Science Department, University of Western Ontario, London, Canada#TAB#"
1549041398,"Department of Computer Engineering, Bilkent University, Bilkent Ankara, Turkey#TAB#"
1549041398,"Department of Industrial Engineering, Uludag University, Gorukle Bursa, Turkey#TAB#"
1549048744,"Department of Computer Science, AGH University of Science and Technology, Kraków, Poland#TAB#"
1549117801,"School of Computing, The Robert Gordon University, Aberdeen,#TAB#"
1549123574,"Institute of Computer Science Polish Academy of Sciences, Warsaw, Poland,University of Gdańsk, Gdańsk, Poland#TAB#"
1549123574,"Kielce University of Technology, Kielce, Poland#TAB#"
1549125132,"Christopher S. Bond Life Sciences Center, University of Missouri Department of Computer Science Columbia Missouri"
1549125132,University of Missouri Department of Physics and Astronomy Columbia Missouri
1549140495,"Department of Computer Science, Memorial University of Newfoundland, Canada#TAB#"
1549154409,North Carolina State University#TAB#
1549154409,Purdue University and CERIAS#TAB#
1549154409,Qatar University#TAB#
1549156782,"Intelligent Sensor-Actuator-Systems Laboratory, Institute for Anthropomatics, Karlsruhe Institute of Technology, Karlsruhe, Germany#TAB#"
1549179888,"Dept. Lenguajes y Ciencias de la Computación, ETSI Informática, University of Málaga, Campus de Teatinos, 29071 - Málaga, Spain#TAB#"
1549179888,"Universidad Nacional Experimental del Táchira (UNET), Laboratorio de Computación de Alto Rendimiento (LCAR), San Cristóbal, Venezuela#TAB#"
1549211887,"Department of Computer Science, SUNY at Stony Brook, NY#TAB#"
1549211887,"Medical Department, Brookhaven National Laboratory, NY#TAB#"
1549213380,"Department of Industrial Engineering, KAIST, Daejeon, Korea#TAB#"
1549213380,"Graduate school of Information and Communications, Hanyang University, Seoul, Korea#TAB#"
1549231054,"CRIL – CNRS, Université d'Artois, Lens, France#TAB#"
1549325729,"NICTA (Brisbane, Austràlia)"
1549325729,University of Queensland
1549331180,"Department of Cybernetics, West Bohemia University, Pilsen, Czech Republic#TAB#"
1549492624,"1 Graduate Institute of Automation Technology, National Taipei University of Technology, Taipei, Taiwan"
1549492624,"2 Department of Rehabilitation Medicine, Mackay Memorial Hospital, Taipei, Taiwan"
1549510362,"Department of Computer Science, University of Pittsburgh, Pittsburgh, USA PA 15260#TAB#"
1549517954,Wellcome Trust Sanger Institute Hinxton Cambridge United Kingdom
1549536084,"Computer Science Dept., Technion – Israel Institute of Technology#TAB#"
1549559066,"Department of Computer Science and Communication Engineering, Providence University, Sha-Lu, Taiwan#TAB#"
1549559066,"Department of Electronic Engineering, City University of Hong Kong, Kowloon Tong, KLN, Hong Kong#TAB#"
1549559066,"Institute of E-Commerce, National Chung Hsing University, Taiwan#TAB#"
1549593401,"Air Force Research Laboratory, Rome, USA"
1549593401,"Department of Mathematics, Syracuse University, Syracuse, USA"
1549593984,University of Haifa
1549658602,"Microsoft Research, 1 Microsoft Way, Redmond, WA 98052, USA#TAB#"
1549658602,"School of Computer Science, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh PA, 15213, USA#TAB#"
1549703832,"Control Engineering and Intelligent Systems Group -eXiT Department of Electronics, Computer Science and Automatic Control, University of Girona, Campus Montilivi CP 17071 Building PIV, Spain"
1549703832,"Modal Interval Automatic Engineering Group - MICE, Department of Electronics, Computer Science and Automatic Control, University of Girona, Campus Montilivi CP 17071 Building PIV, Spain"
1549721772,"Department of Informatics, Nicolaus Copernicus University, Toruń, Poland#TAB#"
1549743286,"K.U.Leuven, Laboratorium voor Neuro-en Psychofysiologie, BE-3000 Leuven, Belgium."
1549813254,"Université Paris-Est, LIGM - UMR CNRS 8049, France#TAB#"
1549832094,Nottingham University Hospitals NHS Trust Nottingham
1549832094,University of Nottingham
1549924524,"Institute for Business Informatics & Application Systems, University Klagenfurt, Klagenfurt, Austria#TAB#"
1549925885,Stanford University
1549925885,University of Freiburg
1549970203,"Dept. of Computer Science and Applied Math, Weizmann Institute of Science, Rehovot#TAB#"
1549970203,"Dept. of Radiology, Hadassah University Hospital, Jerusalem, Israel#TAB#"
1550044487,"Chemical Engineering Division, National Chemical Laboratory, Pune, India#TAB#"
1550044487,"Department of Chemical Engineering, Indian Institute of Technology, Kharagpur, India#TAB#"
1550066434,"CVSSP, University of Surrey, Guildford, Surrey, UK#TAB#"
1550153921,"Chair for Computer Vision, Friedrich-Schiller University of Jena, Jena, Germany 07743#TAB#"
1550153921,"Optical Systems, Fraunhofer Society, Jena, Germany 07745#TAB#"
1550222568,"Helsinki Medical Imaging Center, Helsinki University Central Hospital, Finland#TAB#"
1550245517,"Massachusetts Institute of Technology, Cambridge, USA 02139#TAB#"
1550245517,"University of Maryland, Baltimore County, Baltimore, USA 21250#TAB#"
1550245517,"Vision.ai, Burlington, USA 05401#TAB#"
1550283744,National Technical University of Athens
1550295039,George Mason University
1550295039,"School of Computational Sciences, George Mason University, Manassas, USA"
1550337014,"Dept. of Biostatistics and, Medical Informatics and Dept. of Computer Sciences, University of Wisconsin-Madison, Madison, WI#TAB#"
1550337014,"Dept. of Computer Science, Katholieke Universiteit Leuven, Leuven, Belgium#TAB#"
1550395597,"IMB, Institut de Mathématiques de Bordeaux, UMR, CNRS, France and INRIA Bordeaux Sud-Ouest, France#TAB#"
1550395597,"INESC-ID Lisboa, KDBIO group, Lisbon, Portugal and CISUC, ECOS group, University of Coimbra, Portugal#TAB#"
1550395597,"INESC-ID Lisboa, KDBIO group, Lisbon, Portugal and Department of Informatics, Systems and Communication, University of Milano-Bicocca, Milan, Italy#TAB#"
1550395597,"Instituto Tecnológico de Tijuana, Tijuana, BC, México#TAB#"
1550451942,Białystok Technical University
1550483733,"Department of Electrical Engineering, Universidad de Chile,#TAB#"
1550532850,IMC Research
